MIN.SAN.;CODICE SFM;EAN;PRODOTTO;ATC/GMP;GIACENZA;DITTA;PREZZO;IVA;P.P.
932707565;0031963;4015630981519;ACCU CHEK AVIVA 25STR           ;7AB1B01;0000938;ROCHE DIAGN D.CARE            ;    9,39;22;    33,33
932707577;0032084;4015630981526;ACCU CHEK AVIVA 50STR           ;7AB1B01;0000474;ROCHE DIAGN D.CARE            ;   18,78;22;    66,41
935680948;0214988;4015630065561;ACCU CHEK FASTCLIX KIT          ;7AA1E  ;0000001;ROCHE DIAGN D.CARE            ;   17,68;22;    28,01
939135758;9135751;4015630056996;ACCU CHEK FASTCLIX LANCET 102PZ ;7AC2C  ;0000339;ROCHE DIAGN D.CARE            ;    6,14;22;    18,87
939135733;9135736;4015630056989;ACCU CHEK FASTCLIX 24 LANCETTE  ;7AC2C  ;0000127;ROCHE DIAGN D.CARE            ;    1,52;22;    05,51
938807599;0171174;4015630066193;ACCU CHEK GUIDE KIT MG/DL STRUM ;7AA1A01;0000021;ROCHE DIAGN D.CARE            ;   26,91;22;    42,92
938807664;0171170;4015630066117;ACCU CHEK GUIDE 25 STRIPS RETA  ;7AB1B01;0000579;ROCHE DIAGN D.CARE            ;    9,03;22;    33,33
938807676;0171169;4015630066124;ACCU CHEK GUIDE 50 STRIPS RETA  ;7AB1B01;0000179;ROCHE DIAGN D.CARE            ;   18,10;22;    66,41
979795933;0222468;4015630067442;ACCU CHEK INSTANT 25 STRIPS     ;7AB1B01;0000868;ROCHE DIAGN D.CARE            ;    8,59;22;    33,33
979795921;0232065;4015630067114;ACCU CHEK INSTANT 50 STRIPS     ;7AB1B01;0000179;ROCHE DIAGN D.CARE            ;   17,34;22;    66,41
934862525;0104118;4015630064717;ACCU CHEK MOBILE 50TEST MIC2    ;7AB1B01;0000137;ROCHE DIAGN D.CARE            ;   18,73;22;    72,88
900393986;0393983;4015630018277;ACCU CHEK SOFTCLIX LANC  25PZ   ;7AC2C  ;0002340;ROCHE DIAGN D.CARE            ;    1,53;22;    05,74
900393998;0393991;4015630018260;ACCU CHEK SOFTCLIX LANC 200PZ   ;7AC2C  ;0000192;ROCHE DIAGN D.CARE            ;    9,95;22;    37,01
941617502;0181922;0382903206575;ACCUFINE AGO PEN NEE G31 5MM    ;7BA1D01;0000071;ROCHE DIAGN D.CARE            ;    6,27;22;    24,09
941617514;0181923;0382903206551;ACCUFINE AGO PEN NEE G31 6MM    ;7BA1D01;0000031;ROCHE DIAGN D.CARE            ;    6,23;22;    24,09
941617538;0181924;0382903206544;ACCUFINE AGO PEN NEE G31 8MM    ;7BA1D01;0000028;ROCHE DIAGN D.CARE            ;    6,40;22;    24,09
941617452;0181912;0382903206582;ACCUFINE AGO PEN NEE G32 4MM    ;7BA1D01;0000613;ROCHE DIAGN D.CARE            ;    6,23;22;    30,76
941617490;0181913;0382903206568;ACCUFINE AGO PEN NEE G32 6MM    ;7BA1D01;0000054;ROCHE DIAGN D.CARE            ;    6,32;22;    30,76
921563565;0052401;8032841637369;ACE E SELENIO 24CAPS VEG ERBAMEA;4AA2F30;0000027;ERBAMEA SRL                   ;    4,75;10;    09,90
980634493;0219953;8001480600652;ACE SALVIET IGIEN ALCO 40PZ 0065;7NA4   ;0000001;FATER BABYCARE                ;    2,49;22;    03,49
931781506;0020303;             ;ACEFLU SMP 20BUST               ;4AA2F99;0000018;PMS PHARMA                    ;    9,72;10;    15,50
970302737;0154771;             ;ACEKAP 50ML                     ;6AD8X  ;0000016;L.C.B.                        ;   13,52;22;    20,90
902682398;2682391;0806891014207;ACELUT INTEG 30CPR 450MG        ;4AA2F22;0000027;QUALITY FARMAC                ;   17,03;10;    27,50
900976061;0976068;             ;ACEROLA C 90TAV 500MG STREGA    ;4AA2F99;0000033;LA STREGA                     ;   16,53;10;    27,60
984154955;0265479;8058045122043;ACEROLA ESTRATTO TIT50% 200ML   ;4AA2F31;0000005;GIORGINI SER-VIS SRL          ;   10,52;22;    22,70
980455392;0222846;3578831424205;ACEROLA 1000 FA60CPR ARKO       ;4AA2F15;0000515;ARKOFARM SRL                  ;    9,86;10;    21,90
902654300;0020591;0767787925888;ACEROLA 60CPS 550MG EBV         ;4AA2F26;0000043;ERBA VITA                     ;    5,73;10;    14,20
902878798;0505139;8021685011756;ACEROLA 80 TAV COSVAL           ;4AA2F26;0000017;COSVAL                        ;    9,66;10;    16,00
023475066;0018903;             ;ACETAMOL*AD 10 SUP. 1 G         ;N02BE01;0000115;ABIOGEN PHARMA SPA            ;    2,91;10;    05,50
023475130;0012399;             ;ACETAMOL*GTT PRIMA INF 100MG    ;N02BE01;0000202;ABIOGEN PHARMA SPA            ;    2,03;10;    05,00
023475080;0018929;             ;ACETAMOL*NIPIO 10 SUP 250 MG    ;N02BE01;0000100;ABIOGEN PHARMA SPA            ;    2,91;10;    05,50
023475092;0018895;             ;ACETAMOL*SCIR 100 ML 2,5%       ;N02BE01;0000188;ABIOGEN PHARMA SPA            ;    2,72;10;    06,50
023475054;0018747;             ;ACETAMOL*20 CPR 500 MG          ;N02BE01;0000141;ABIOGEN PHARMA SPA            ;    2,65;10;    05,50
900158130;0158139;             ;ACETIL CARNITINA 120CPS         ;4AA2F16;0000010;BIOSALTS                      ;   19,50;10;    29,00
935590529;0161782;8054956340262;ACETIL L-CARNITINE 60CPR        ;4AA2F16;0000082;NAMED SPORT                   ;   15,68;10;    29,99
986824973;0301458;8058951700014;ACETILCISTEINA ACT PLUS NAC600  ;4AA2F10;0000030;CODEFAR                       ;    4,47;10;    08,90
974946473;0188244;             ;ACETILCISTEINA ZENT 600 10BUST  ;4AA2F25;0000003;ZENTIVA ITALIA                ;    3,96;10;    08,90
923556397;0247055;             ;ACETILCISTEINA 30CPS KOS        ;4AA2F15;0000045;KOS                           ;    5,20;10;    09,00
925833939;0078664;6419587200958;ACETIUM 60CPS                   ;7BB1   ;0000008;CENTRO PROD SERVIZI           ;   20,91;22;    32,00
989672579;0349375;             ;ACETIX FORTE 20BUST             ;4AA2F15;0000024;MEGARIDE                      ;   15,16;10;    26,00
977254604;0195798;8016323003712;ACETO MELE 500ML FDL            ;4AX6B  ;0000016;PROBIOS BIOTOBIO              ;    2,18;10;    03,35
906020831;6020838;0767787923310;ACETO MELE 60CPS EBV            ;4AA2F15;0000010;ERBA VITA                     ;    7,49;10;    18,30
901548610;1548619;             ;ACETONE SOLVEN 50ML AST FADEM   ;6AE3   ;0000137;FADEM                         ;    2,22;22;    04,80
909287512;9287517;             ;ACETONE ZETA 50ML               ;6AE3   ;0000116;ZETA FARMACEUTICI PROMO       ;    2,01;22;    04,50
908003155;8003154;             ;ACETONE-DUE SCUDI MVI 50ML      ;6AE3   ;0000008;MARCO VITI SPA                ;    2,03;22;    04,90
935057000;0149401;8054956340095;ACETYL L-CARNITINE LIQUID 25ML  ;4AA2F16;0000055;NAMED SPORT                   ;    1,67;10;    03,09
970929713;0161596;8056364773632;ACHILLEA ESTRATTO INTEGR 200ML  ;4AA2F99;0000007;GIORGINI SER-VIS SRL          ;   10,87;22;    21,80
989819990;0334983;3578836210100;ACHILLEA MILLEFOGLIE 30CPS      ;4AA2F28;0000008;ARKOFARM SRL                  ;    7,53;10;    16,50
951175874;0366687;             ;ACIBROM SED 200ML               ;4AA2F10;0000005;RIMED                         ;   11,76;10;    16,80
040607018;0007092;             ;ACICLOVIR ALMUS*CREMA 3G 5%     ;D06BB03;0000032;ALMUS SRL                     ;    4,34;10;    09,60
036110043;4769733;             ;ACICLOVIR ALTER*CREMA 3G 5%     ;D06BB03;0000054;ALTER                         ;    3,34;10;    07,90
033551045;2055549;             ;ACICLOVIR DOC*CREMA  3G 5%      ;D06BB03;0000195;DOC PHARMA                    ;    4,13;10;    00,00
028467076;8033813;             ;ACICLOVIR DOROM*CREMA  3G 5%    ;D06BB03;0000689;TEVA ITALIA GX                ;    3,71;10;    08,80
032307047;1671379;             ;ACICLOVIR EG*CREMA  3 G         ;D06BB03;0000191;EG SPA GX                     ;    3,71;10;    08,00
034738017;7027295;             ;ACICLOVIR MGI*CREMA 3 G 5%      ;D06BB03;0001011;VIATRIS GX                    ;    4,47;10;    09,30
033731047;2228534;             ;ACICLOVIR SAND*CREMA 3 G 5%     ;D06BB03;0000339;SANDOZ                        ;    4,55;10;    09,78
902603303;2603306;8058341430071;ACIDIF INTEG 30 CPR             ;4AA2F11;0000033;MAYOLY ITALIA S.P.A           ;   15,02;10;    24,50
905950578;5950571;8058341430422;ACIDIF INTEG 90 CPR             ;4AA2F11;0000067;MAYOLY ITALIA S.P.A           ;   27,28;10;    44,50
933506192;0054208;8058341430033;ACIDIF MONO INT ALIM 30CPR      ;4AA2F11;0000073;MAYOLY ITALIA S.P.A           ;   19,87;10;    32,90
931010589;1010580;8058341430040;ACIDIF PLUS INTEG 14CPR 1,15G   ;4AA2F11;0000112;MAYOLY ITALIA S.P.A           ;   14,98;10;    24,50
941795585;0180769;8058341430293;ACIDIF PRO 30BUST               ;4AA2F35;0000171;MAYOLY ITALIA S.P.A           ;   25,08;10;    40,90
908604895;8604894;             ;ACIDINE-LIQ DERM 200ML          ;6AC5A  ;0000037;VALDERMA                      ;   11,01;22;    18,00
904347438;4347431;             ;ACIDINE-LIQ DERM 500ML          ;6AC5A  ;0000054;VALDERMA                      ;   13,54;22;    22,00
030175020;0047261;             ;ACIDO ACETILSAL LFM*500M        ;N02BA01;0000066;FARMACOLOGICO MIL ETIC        ;    5,13;10;    08,21
905294334;0024455;             ;ACIDO ALFA LIPOIC 60CPS RET KOS ;4AA2F30;0000024;KOS                           ;    7,22;10;    14,00
901456006;0065812;             ;ACIDO ASCORBICO 100BUST STUDIO3 ;4AA2F15;0000026;STUDIO 3 FARMA                ;    9,36;10;    17,77
989930654;0348828;8055320351648;ACIDO ASCORBICO 500GR SPAZIO ECO;4AA2F15;0000095;SPAZIO ECOSALUTE              ;   13,35;10;    28,00
029964057;0015847;             ;ACIDO BORICO AFOM*3% 500ML      ;D08AD  ;0000141;MONTEFARMACO  SPA             ;    1,34;10;    05,10
031310016;0017003;             ;ACIDO BORICO ALMUS*3% 500ML     ;D08AD  ;0000027;ALMUS SRL                     ;    2,17;10;    04,80
029820040;0016324;             ;ACIDO BORICO SELLA*3% 500ML     ;D08AD  ;0000061;SELLA                         ;    2,16;10;    05,10
030358030;0015156;             ;ACIDO BORICO*3% 200ML VITI      ;D08AD  ;0000067;MARCO VITI SPA                ;    1,75;10;    04,10
031361025;0015145;             ;ACIDO BORICO*3% 500ML ZETA      ;D08AD  ;0000087;ZETA FARMACEUTICI             ;    1,96;10;    04,80
982476121;0241982;8058045121145;ACIDO FOLICO PURO ANALC 30ML    ;4AA2F27;0000006;GIORGINI SER-VIS SRL          ;   10,54;22;    21,90
925386423;0065822;8052432436683;ACIDO FOLICO 400MCG 120CPR OPTIM;4AA2F99;0000054;OPTIMA                        ;    5,23;10;    11,90
975179728;0188164;             ;ACIDO FOLICO 400MCG 60CPR KOS   ;4AA2F27;0000041;KOS                           ;    4,96;10;    09,50
920965264;595001I;5019781010806;ACIDO FOLICO 90 CPS HEALTH AID  ;4AA2F27;0000008;HEALTH AID                    ;    9,46;10;    13,70
923384515;0133691;8032841638489;ACIDO FOLICO 90CPR 18G ERBAMEA  ;4AA2F27;0000018;ERBAMEA SRL                   ;    4,81;10;    10,00
934165871;0289290;8022328106754;ACIDO IAL CC CREAM CARAM SPF20  ;6AC5I03;0000024;L'ERBOLARIO                   ;   16,34;22;    27,90
944959283;0239803;8030243029386;ACIDO IAL JOINT 60CPR P         ;4AA2F09;0000064;BIOS LINE                     ;   18,80;10;    35,00
932713617;0257628;8022328107034;ACIDO IALURONICO BB CREAM VISO  ;6AC5D  ;0000005;L'ERBOLARIO                   ;   17,38;22;    27,90
932713605;0289278;8022328107041;ACIDO IALURONICO CONT OCCHI 30  ;6AC2F02;0000024;L'ERBOLARIO                   ;   20,39;22;    34,90
978870905;0289524;8022328110218;ACIDO IALURONICO CR MANI TRIPL  ;6AE4X  ;0000011;L'ERBOLARIO                   ;    8,03;22;    12,90
932713629;0289279;8022328107065;ACIDO IALURONICO CR VISO TRI/A  ;6AC5I03;0000009;L'ERBOLARIO                   ;   24,23;22;    38,90
988146849;0346657;8022328115558;ACIDO IALURONICO DEOD SPR ENER  ;6AD2   ;0000015;L'ERBOLARIO                   ;   10,01;22;    16,90
975426836;0289458;8022328103838;ACIDO IALURONICO LUCEEVOL BALS  ;6AA2C  ;0000021;L'ERBOLARIO                   ;   10,68;22;    17,90
986106401;0289741;8022328114285;ACIDO IALURONICO LUI BALS MULT  ;6AA2C  ;0000023;L'ERBOLARIO                   ;   15,94;22;    26,90
986106312;0289732;8022328114223;ACIDO IALURONICO LUI CR VISO    ;6AC5I03;0000010;L'ERBOLARIO                   ;   19,97;22;    32,50
986106399;0289740;8022328114278;ACIDO IALURONICO LUI SCHIUMA    ;6AC5J01;0000008;L'ERBOLARIO                   ;    7,93;22;    12,90
932167683;0289265;8022328104705;ACIDO IALURONICO MOUSSE DETERG  ;6AC5A  ;0000019;L'ERBOLARIO                   ;   12,39;22;    19,90
925654131;0106538;8052432433743;ACIDO IALURONICO PLUS 60CP OPTIM;4AA2F99;0000031;OPTIMA                        ;   14,18;10;    28,90
944959271;0236990;8030243029379;ACIDO IALURONICO SKIN 60CPR PR  ;4AA2F15;0000040;BIOS LINE                     ;   18,47;10;    35,00
971028826;0177200;8032841639639;ACIDO IALURONICO SPECIAL CARE   ;4AA2F21;0000032;ERBAMEA SRL                   ;   10,53;10;    23,90
932167695;0289266;8022328104699;ACIDO IALURONICO STRUC BFASICO  ;6AC5A  ;0000015;L'ERBOLARIO                   ;   11,47;22;    19,90
985501701;0279240;8032668872356;ACIDO IALURONICO 0,2% SOL OFT   ;7BB3A  ;0000036;GR FARMA                      ;    5,99;10;    09,90
922364524;0031599;8032841637994;ACIDO IALURONICO 24CPS ERBAMEA  ;4AA2F21;0000043;ERBAMEA SRL                   ;   10,76;10;    21,90
988830826;0349395;4897091058555;ACIDO IALURONICO 40GOMMOSE SWISS;4AA2F21;0000002;HEALTH AND HAPPINESS          ;   10,80;10;    20,50
951463049;0363987;8058045129967;ACIDO IALURONICO 60PAST         ;4AA2F21;0000034;GIORGINI SER-VIS SRL          ;   14,10;10;    29,90
926236415;0139320;             ;ACIDO JALURONICO 30CPS KOS      ;4AA2F21;0000014;KOS                           ;    8,26;10;    15,90
922365818;0093663;8032841638045;ACIDO LIPOICO 24CPR ERBAMEA     ;4AA2F30;0000024;ERBAMEA SRL                   ;    7,17;10;    14,90
900975335;0975334;             ;ACIDO PANTOTENICO 1000MG STREGA ;4AX9   ;0000012;LA STREGA                     ;   24,84;10;    41,30
030578025;0578024;             ;ACIDO SALICILICO 5% ARG*UNG 30G ;D11AF  ;0000031;NOVA ARGENTIA                 ;    1,76;10;    05,00
901548697;1548692;             ;ACIDO-BORICO POLV FU 30G FADEM  ;1AC1   ;0000725;FADEM                         ;    0,56;22;    01,20
901548711;718820I;             ;ACIDO-SALIC FADEM   BS 10GR     ;1AC1   ;0000320;FADEM                         ;    0,51;22;    01,30
947091272;0244105;0033984007680;ACIDOPHILUS BIFIDO 60CPS SOLGAR ;4AA2F35;0000052;SOLGAR ITALIA                 ;   15,68;10;    29,80
900176215;0176214;8054521000102;ACIDOPHILUS 30TAV MAS LONG LIFE ;4AA2F35;0000010;LONGLIFE SRL                  ;    7,94;10;    11,60
947038269;0239807;0033984007697;ACIDOPHILUS 50CPS VEGETALI      ;4AA2F35;0000049;SOLGAR ITALIA                 ;   15,26;10;    28,20
906166956;0096404;8017977002434;ACIDULATO DI UMEBOSHI 500M FINES;4AX9   ;0000036;PROBIOS BIOTOBIO              ;    4,13;10;    07,02
800254308;025430O;8013901028624;ACIDUM NITRICUM 6/30LM CPS CEMON;2AA7F  ;0000008;CEMON SRL                     ;   14,30;10;    26,70
048764789;0288224;             ;ACIDUM PHOSPH 200K DOSE N/F CEMO;V03AX  ;0000035;CEMON SRL                     ;    6,09;10;    10,90
048766327;0277509;             ;ACIDUM PHOSPHOR DYN*6LM 20ML    ;V03AX  ;0000002;CEMON SRL                     ;   18,32;10;    30,60
909469140;009247O;             ;ACIDUM PHOSPHORICUM HMC 10FL    ;2AB1X  ;0000013;GUNA SPA                      ;   17,98;10;    30,00
800250767;025076O;8013901020666;ACIDUM PHOSPHORICUM LMK GL CEMON;2AA2D  ;0000005;CEMON SRL                     ;    7,69;10;    14,00
902508478;2508471;             ;ACIMAP 60CPR 60G                ;4AA2F08;0000008;MAP ITALIA                    ;   16,04;10;    25,80
900923994;0923995;             ;ACIMIRT-INTEG 30 TAV            ;4AA2F12;0000028;PRODOTTI FMC                  ;   20,13;10;    32,28
974967681;0187879;             ;ACIRONIC FORTE 20CPR FAST-SLOW  ;4AA2F09;0000258;RIMED                         ;   27,25;10;    39,80
973989700;0179811;8032185012211;ACISTOM NEW 48CPR               ;4AA2F08;0000045;HERBOPLANET                   ;   10,54;10;    18,90
970501654;0156476;             ;ACLINE DETERGENTE 250ML         ;6AC5A  ;0000009;FEMAR FARMA                   ;   11,53;22;    19,50
971661766;0167903;             ;ACLINE MASK 75ML                ;6AC5I07;0000009;FEMAR FARMA                   ;   17,99;22;    29,00
980258432;0212107;5200375399418;ACMED CREMA 75ML                ;6AC5I02;0000723;LOGOFARMA                     ;   15,26;22;    24,90
989028473;0323497;5200375300186;ACMED PRO 30STICK               ;4AA2F15;0000118;LOGOFARMA                     ;   18,70;10;    29,40
983361609;0247538;5200375399678;ACNAID CE SAPONE LIQUIDO 500ML  ;7BB7A  ;0000181;LOGOFARMA                     ;   16,20;22;    27,90
922337670;0012935;5200375300353;ACNAID CLEASER 200ML            ;6AC5I02;0000016;LOGOFARMA                     ;   12,16;22;    20,90
927103073;0105345;5200375399029;ACNAID GEL 30G CE               ;7BB7A  ;0000030;LOGOFARMA                     ;   13,91;22;    23,90
973292954;0176106;5200375300346;ACNAID SAPONE LIQUIDO 300ML CE  ;7BB7A  ;0000074;LOGOFARMA                     ;   12,70;22;    21,90
939032823;0174488;             ;ACNEBIO MOUSSE 150ML            ;7BB7A  ;0000024;ROYDERMAL                     ;   12,28;22;    19,50
943359796;0324822;             ;ACNEBIO PRO 24STICK PACK        ;4AA2F35;0000032;ROYDERMAL                     ;   17,64;10;    26,70
986626036;0283497;             ;ACNEFFE BODY SPRAY 120ML        ;6AD8X  ;0000010;CIEFFE DERMA                  ;   15,13;22;    26,50
986625820;0300044;             ;ACNEFFE CREMA 50ML              ;6AD8X  ;0000007;CIEFFE DERMA                  ;   10,33;22;    17,80
925006088;0067002;             ;ACNEFFE ECOMOUSSE 150ML         ;6AC5I02;0000067;CIEFFE DERMA                  ;    9,56;22;    16,70
970430652;0156525;             ;ACNEFFE SUN SPF30 50ML          ;6AD6   ;0000166;CIEFFE DERMA                  ;   11,55;22;    20,20
974058036;0179461;8059265258307;ACNELL CREMA CANOVA 50ML        ;6AC5I02;0000008;SIFARMA                       ;   15,07;22;    25,00
974058240;0179460;8059265256310;ACNELL MASK CANOVA 8BUST 10ML   ;6AC5I07;0000029;SIFARMA                       ;   16,88;22;    28,00
905773127;5773122;             ;ACNHYDRAL DET ACNE 75ML         ;6AC5I02;0000010;DORSAN                        ;    9,67;22;    15,00
939037103;0170800;8470001806475;ACNIBEN BODY SPRAY ANTIACNE     ;6AD8X  ;0000068;ISDIN                         ;   12,08;22;    19,90
949924928;0273575;8470003245920;ACNIBEN FACIA CREAM 40ML        ;6AC5I01;0000036;ISDIN                         ;   11,85;22;    19,90
940277130;0273577;8429420227590;ACNIBEN MATTIFYING CLEANSER     ;6AC5A  ;0000013;ISDIN                         ;   11,68;22;    19,90
945031185;0301410;8429420236769;ACNIBEN OILY SKIN MASK 75ML     ;6AC5I07;0000014;ISDIN                         ;    9,23;22;    15,50
945031161;0299576;8429420236219;ACNIBEN OILY SKIN NIGHT CONCEN  ;6AC5I01;0000031;ISDIN                         ;   18,52;22;    28,90
949924916;0273576;8470001855107;ACNIBEN ON THE SPOT 15ML        ;6AC5I01;0000026;ISDIN                         ;    8,02;22;    13,50
935836712;0163252;8470001509802;ACNIBEN REPAIR BALSAMO LABBRA   ;6AC1X  ;0000041;ISDIN                         ;    6,68;22;    10,90
935836825;0163250;8470002000698;ACNIBEN REPAIR DET 180ML 2021   ;6AC5A  ;0000001;ISDIN                         ;   13,99;22;    21,90
935836751;0163251;8470002000704;ACNIBEN REPAIR GEL CR IDRAT     ;6AC5I01;0000042;ISDIN                         ;   13,43;22;    21,90
935538710;0154904;             ;ACNO'CREMA 30ML                 ;7BB7A  ;0000029;ELIFAB                        ;   16,12;22;    25,90
980815233;0228472;8050538121120;ACNOZOIL CREMA                  ;7BB7A  ;0000014;ERBAGIL                       ;   18,68;22;    30,00
971007505;0181084;             ;ACOLIN 50ML                     ;4AA2F08;0000017;BUONO ITALIA                  ;   10,78;10;    19,00
800640005;064000O;8013901073976;ACONIT NAPEL 30CH 10ML GT CEMON ;2AA1B01;0000002;CEMON SRL                     ;    7,42;10;    13,50
909467565;009089O;             ;ACONITUM HEEL 50 CPR            ;2AB1G  ;0000119;GUNA SPA                      ;    7,70;10;    13,50
050833084;0351188;             ;ACONITUM NAP BOI*9CH GR 4G      ;V03AX  ;0000011;BOIRON SRL                    ;    4,32;10;    00,00
050833298;0349504;             ;ACONITUM NAP 30CH GRANULI N/F BO;V03AX  ;0000018;BOIRON SRL                    ;    4,12;10;    08,10
800640017;064001O;8013901086945;ACONITUM NAPEL 5CH 10ML GT CEMON;2AA1B01;0000009;CEMON SRL                     ;    7,14;10;    13,50
800106799;010679O;             ;ACONITUM NAPELL 15CH GL BO      ;2AA1B04;0000005;BOIRON SRL                    ;    3,74;10;    07,10
050375245;0299995;             ;ACONITUM NAPELLUS DYN*30CH GR   ;V03AX  ;0000042;CEMON SRL                     ;    5,02;10;    09,50
800252999;025299O;8013901027184;ACONITUM NAPELLUS 30LM GL CEMON ;2AA3D  ;0000001;CEMON SRL                     ;    7,14;10;    13,00
981403280;0225765;             ;ACOV 1000 100ML                 ;4AX9   ;0000007;SAGE PHARMA                   ;   16,25;10;    30,00
